Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,25,OKC,29,573,6.6,.510,.810,.085,0.9,7.7,4.2,4.5,1.4,0.9,8.1,12.2,,0.1,0.7,0.9,.073,,-2.2,-0.3,-2.5,-0.1
2,Jaylen Adams\adamsja01,PG,22,ATL,8,27,10.4,.500,.833,.000,0.0,12.2,5.9,19.6,1.7,3.2,14.3,10.6,,0.0,0.0,0.0,.050,,-3.2,-0.7,-3.9,0.0
3,Steven Adams\adamsst01,C,25,OKC,32,1075,20.9,.600,.000,.416,14.9,15.5,15.2,6.9,1.9,2.1,10.4,18.1,,2.7,1.9,4.5,.203,,1.3,1.9,3.3,1.4
4,Bam Adebayo\adebaba01,C,21,MIA,33,688,16.9,.575,.029,.526,10.4,24.5,17.4,13.6,1.6,3.7,16.5,15.6,,1.0,1.2,2.2,.155,,-1.3,3.5,2.2,0.7
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.6,.322,.400,.200,4.9,14.9,9.8,37.9,4.5,0.0,15.5,25.1,,-0.1,0.0,0.0,-0.045,,-3.8,0.9,-2.9,0.0
6,LaMarcus Aldridge\aldrila01,C,33,SAS,35,1124,20.1,.542,.024,.291,10.2,20.8,15.5,10.5,0.7,3.0,9.5,26.4,,1.7,1.1,2.8,.121,,-0.5,0.0,-0.5,0.4
7,Rawle Alkins\alkinra01,SG,21,CHI,2,4,61.1,.375,.250,.000,80.9,0.0,40.5,93.2,12.2,0.0,0.0,44.3,,0.0,0.0,0.0,.543,,43.9,22.4,66.3,0.1
8,Grayson Allen\allengr01,SG,23,UTA,17,165,3.8,.473,.661,.403,0.7,2.7,1.7,6.1,0.3,0.0,12.0,21.8,,-0.2,0.1,-0.1,-0.039,,-4.2,-4.4,-8.6,-0.3
9,Jarrett Allen\allenja01,C,20,BRK,34,920,19.9,.640,.092,.464,10.4,22.9,16.5,9.2,1.0,3.9,12.3,16.7,,2.4,1.0,3.4,.178,,0.9,2.1,2.9,1.1
10,Al-Farouq Aminu\aminual01,PF,28,POR,34,1020,12.1,.571,.550,.285,4.7,22.6,13.8,3.4,1.7,0.9,9.6,12.6,,1.1,1.1,2.2,.104,,-0.4,0.4,0.1,0.5
11,Justin Anderson\anderju01,SG,25,ATL,15,117,16.7,.570,.435,.239,5.3,15.0,10.0,12.0,2.7,2.2,9.0,19.5,,0.2,0.1,0.3,.117,,0.0,-0.5,-0.5,0.0
12,Kyle Anderson\anderky01,SF,25,MEM,33,970,12.9,.554,.114,.219,4.2,20.0,12.0,14.7,2.2,2.5,15.0,12.4,,0.7,1.6,2.3,.112,,-2.1,3.6,1.5,0.9
13,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.8,.423,.567,.233,5.6,12.6,9.1,8.2,0.5,0.3,15.4,12.3,,-0.2,0.1,-0.2,-0.028,,-4.2,-1.7,-5.8,-0.3
14,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6.0,.000,.000,.000,19.1,35.9,27.7,19.5,0.0,15.1,25.0,29.1,,-0.1,0.0,-0.1,-0.467,,-22.3,9.0,-13.3,0.0
15,Giannis Antetokounmpo\antetgi01,PF,24,MIL,31,1050,28.4,.631,.135,.536,8.1,29.3,19.3,29.2,1.8,3.5,16.9,31.2,,3.1,2.4,5.5,.251,,4.3,4.9,9.2,3.0
16,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,11.3,.513,.529,.182,3.4,18.1,10.5,2.7,0.7,2.0,5.8,20.7,,0.1,0.2,0.3,.044,,-2.6,-3.2,-5.8,-0.3
17,OG Anunoby\anunoog01,SF,21,TOR,30,624,9.9,.518,.509,.110,4.3,11.5,8.1,3.9,1.6,1.2,8.8,17.3,,0.0,0.7,0.7,.056,,-1.2,-0.4,-1.6,0.1
18,Ryan Arcidiacono\arcidry01,PG,24,CHI,34,967,11.0,.613,.674,.166,1.0,9.1,5.1,19.3,1.8,0.1,13.8,10.3,,1.3,0.6,1.9,.093,,0.0,-0.7,-0.7,0.3
19,Trevor Ariza\arizatr01,SF,33,TOT,31,1079,10.9,.515,.608,.172,1.9,16.3,9.0,13.4,2.4,0.6,13.3,14.8,,0.1,0.8,0.9,.041,,-1.0,0.6,-0.4,0.4
20,D.J. Augustin\augusdj01,PG,31,ORL,33,920,14.4,.607,.488,.304,1.9,7.0,4.3,25.3,0.8,0.0,13.8,16.5,,1.8,0.3,2.2,.114,,1.2,-3.0,-1.8,0.0
21,Deandre Ayton\aytonde01,C,20,PHO,35,1084,21.3,.622,.005,.207,10.6,28.9,19.7,12.6,0.9,2.7,12.9,21.3,,2.3,1.1,3.3,.148,,0.6,1.0,1.6,1.0
22,Dwayne Bacon\bacondw01,SG,23,CHO,17,210,12.9,.616,.268,.169,1.0,14.5,7.7,9.9,0.7,0.0,9.5,17.2,,0.3,0.1,0.4,.096,,-0.8,-2.6,-3.5,-0.1
23,Marvin Bagley\baglema01,PF,19,SAC,26,600,18.4,.592,.112,.446,10.6,16.9,13.7,5.7,0.8,3.8,13.4,22.2,,0.9,0.5,1.4,.109,,-0.5,-0.6,-1.1,0.1
24,Ron Baker\bakerro01,SG,25,TOT,13,137,3.5,.339,.611,.333,0.7,7.3,3.9,13.0,2.1,0.6,16.2,7.6,,-0.1,0.0,-0.1,-0.019,,-4.8,-0.8,-5.7,-0.1
24,Ron Baker\bakerro01,SG,25,NYK,11,107,4.5,.376,.563,.375,0.9,6.2,3.5,15.5,2.2,0.0,13.9,8.5,,0.0,0.0,0.0,.000,,-3.9,-1.6,-5.5,-0.1
24,Ron Baker\bakerro01,SG,25,WAS,2,30,-0.1,.000,1.000,.000,0.0,11.3,5.5,3.9,1.6,2.9,33.3,4.3,,-0.1,0.0,-0.1,-0.085,,-8.1,2.0,-6.2,0.0
25,Wade Baldwin\baldwwa01,PG,22,POR,11,60,1.4,.393,.318,.227,1.8,12.1,7.0,18.3,0.0,2.7,27.1,23.5,,-0.3,0.0,-0.2,-0.177,,-9.3,-1.8,-11.2,-0.1
26,Lonzo Ball\balllo01,PG,21,LAL,34,984,11.2,.478,.505,.096,4.0,14.2,9.2,21.1,2.4,1.0,18.6,16.4,,-0.3,1.3,1.1,.052,,-1.4,1.6,0.2,0.6
27,Mohamed Bamba\bambamo01,C,20,ORL,32,540,15.3,.524,.324,.223,8.5,22.2,15.1,10.0,0.9,6.8,11.3,18.2,,0.3,0.8,1.0,.092,,-2.4,2.7,0.3,0.3
28,J.J. Barea\bareajo01,PG,34,DAL,30,602,18.6,.517,.309,.201,1.8,11.6,6.8,48.0,1.4,0.1,13.9,28.0,,0.8,0.5,1.3,.105,,2.3,-2.3,0.0,0.3
29,Harrison Barnes\barneha02,SF,26,DAL,29,928,14.3,.554,.423,.263,2.8,11.2,7.1,5.6,1.1,0.8,8.1,23.9,,0.9,0.7,1.5,.080,,-0.2,-2.3,-2.5,-0.1
30,Will Barton\bartowi01,SG,28,DEN,2,54,22.6,.725,.429,.190,0.0,20.2,10.0,17.5,0.9,3.3,11.6,20.4,,0.2,0.1,0.3,.230,,3.2,0.0,3.2,0.1
31,Keita Bates-Diop\bateske01,SF,23,MIN,2,18,-1.1,.250,.500,.000,0.0,17.9,8.9,0.0,0.0,4.8,0.0,18.8,,-0.1,0.0,-0.1,-0.180,,-11.9,-4.1,-16.0,-0.1
32,Nicolas Batum\batumni01,SF,30,CHO,33,1010,11.2,.565,.450,.124,3.3,14.5,8.9,14.9,1.2,1.2,17.1,13.5,,0.7,0.8,1.4,.069,,-0.3,0.5,0.2,0.6
33,Jerryd Bayless\bayleje01,PG,30,MIN,3,30,10.1,.485,.429,.071,3.5,3.6,3.6,29.4,1.6,0.0,17.2,24.5,,0.0,0.0,0.0,-0.008,,-1.7,-4.6,-6.3,0.0
34,Aron Baynes\baynear01,C,32,BOS,25,356,15.3,.572,.356,.346,11.4,20.2,15.8,11.8,0.5,2.8,13.1,16.7,,0.7,0.6,1.3,.170,,-0.1,1.1,0.9,0.3
35,Kent Bazemore\bazemke01,SG,29,ATL,33,906,14.9,.552,.416,.276,2.2,13.4,7.6,14.7,2.9,3.1,14.0,21.9,,0.2,0.9,1.1,.060,,-0.7,0.9,0.2,0.5
36,Bradley Beal\bealbr01,SG,25,WAS,35,1280,18.7,.571,.369,.248,2.8,12.0,7.3,21.0,1.4,2.1,11.0,27.0,,1.8,0.4,2.2,.083,,2.5,-1.5,0.9,0.9
37,Malik Beasley\beaslma01,SG,22,DEN,32,640,12.5,.560,.515,.063,2.3,11.6,6.9,7.7,1.5,0.4,6.5,17.4,,0.7,0.7,1.4,.101,,0.2,-1.4,-1.2,0.1
38,Michael Beasley\beaslmi01,PF,30,LAL,10,71,12.4,.555,.108,.162,4.6,15.6,10.3,6.7,1.3,0.0,15.0,27.4,,0.0,0.1,0.0,.022,,-4.9,-3.3,-8.2,-0.1
39,Marco Belinelli\belinma01,SG,32,SAS,34,746,12.4,.532,.563,.150,1.2,9.6,5.4,12.5,1.1,0.6,7.0,20.3,,0.6,0.4,1.0,.067,,0.9,-2.5,-1.5,0.1
40,Jordan Bell\belljo01,C,24,GSW,33,395,12.5,.526,.014,.278,7.4,16.8,12.2,12.8,1.7,5.8,18.2,10.7,,0.3,0.5,0.9,.104,,-2.5,3.6,1.1,0.3
41,DeAndre' Bembry\bembrde01,SG,24,ATL,33,750,10.5,.492,.322,.248,2.3,17.5,9.7,16.9,2.4,2.3,16.7,17.5,,-0.5,0.7,0.2,.015,,-3.6,1.2,-2.4,-0.1
42,Dragan Bender\bendedr01,PF,21,PHO,11,88,5.0,.475,.591,.227,6.3,12.8,9.5,7.8,0.0,0.0,19.9,15.0,,-0.1,0.0,-0.1,-0.041,,-4.6,-3.3,-7.9,-0.1
43,Davis Bertans\bertada01,PF,26,SAS,31,559,16.6,.712,.734,.152,2.6,15.5,9.1,7.9,1.1,1.8,8.2,14.5,,1.5,0.5,2.0,.168,,3.9,-0.7,3.2,0.7
44,Patrick Beverley\beverpa01,PG,30,LAC,34,833,9.9,.506,.573,.257,3.4,12.7,8.2,18.5,1.3,1.0,13.6,13.6,,0.7,0.5,1.2,.067,,0.5,0.0,0.6,0.5
45,Khem Birch\birchkh01,C,26,ORL,11,89,11.8,.578,.000,.211,7.2,17.8,12.3,3.2,2.2,1.9,12.6,11.8,,0.1,0.1,0.2,.100,,-4.1,0.7,-3.4,0.0
46,Bismack Biyombo\biyombi01,C,26,CHO,10,77,10.3,.564,.000,.750,6.9,18.3,12.6,3.4,0.6,10.2,20.0,11.1,,0.0,0.1,0.1,.079,,-5.1,4.3,-0.8,0.0
47,Nemanja Bjelica\bjeline01,PF,30,SAC,34,832,16.5,.628,.444,.159,6.0,19.0,12.4,10.6,1.6,3.0,13.9,17.1,,1.3,0.8,2.2,.124,,1.8,1.2,2.9,1.0
48,Antonio Blakeney\blakean01,SG,22,CHI,28,446,11.4,.503,.268,.196,1.2,11.4,6.3,5.8,0.9,1.0,8.3,26.3,,-0.5,0.2,-0.3,-0.029,,-4.5,-3.8,-8.3,-0.7
49,Eric Bledsoe\bledser01,PG,29,MIL,33,986,19.2,.593,.381,.246,3.9,10.7,7.5,27.9,2.0,1.3,14.2,22.0,,2.2,1.5,3.7,.180,,2.8,0.7,3.5,1.4
50,Jaron Blossomgame\blossja01,SF,25,CLE,12,214,12.4,.606,.477,.114,6.5,17.7,11.9,5.3,0.9,1.2,9.8,10.5,,0.3,0.0,0.4,.081,,-0.6,-1.2,-1.7,0.0
51,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,22,592,15.8,.549,.449,.239,2.1,10.9,6.4,20.2,1.2,0.3,8.8,23.0,,0.9,0.2,1.1,.093,,2.2,-2.5,-0.3,0.3
52,Bojan Bogdanovic\bogdabo02,SF,29,IND,35,1109,15.4,.643,.403,.311,1.8,11.5,6.8,7.2,1.4,0.0,12.2,20.0,,1.8,1.5,3.2,.140,,1.4,-0.9,0.5,0.7
53,Jonah Bolden\boldejo01,PF,23,PHI,10,79,6.6,.407,.588,.353,4.2,23.4,14.2,4.9,1.8,6.9,23.4,13.7,,-0.2,0.2,0.0,-0.010,,-7.2,3.5,-3.7,0.0
54,Isaac Bonga\bongais01,PG,19,LAL,5,17,13.3,.361,.143,.429,12.8,11.9,12.3,22.6,8.3,0.0,19.4,25.3,,0.0,0.0,0.0,.000,,-4.0,5.0,1.0,0.0
55,Devin Booker\bookede01,SG,22,PHO,25,905,18.7,.558,.375,.276,2.0,10.5,6.2,34.3,1.5,0.6,15.0,32.1,,0.8,0.4,1.1,.061,,3.4,-2.4,0.9,0.7
56,Chris Boucher\bouchch01,PF,26,TOR,7,31,28.0,.540,.533,.533,14.5,26.9,20.9,0.0,1.6,20.8,9.7,28.6,,0.0,0.1,0.1,.226,,-3.5,3.5,0.0,0.0
57,Avery Bradley\bradlav01,SG,28,LAC,28,824,5.2,.460,.382,.066,2.2,6.2,4.3,8.6,1.0,1.1,14.6,14.2,,-0.7,0.2,-0.5,-0.027,,-2.4,-0.5,-2.9,-0.2
58,Mikal Bridges\bridgmi01,SF,22,PHO,35,890,10.4,.535,.537,.166,2.6,9.5,6.0,7.6,2.7,1.3,9.6,13.3,,0.4,0.6,1.0,.054,,-1.0,0.5,-0.6,0.3
59,Miles Bridges\bridgmi02,SF,20,CHO,32,647,13.3,.566,.429,.188,3.1,17.5,10.2,6.9,1.5,3.2,9.2,15.1,,0.5,0.7,1.3,.094,,-0.9,0.8,-0.2,0.3
60,Isaiah Briscoe\briscis01,PG,22,ORL,12,80,2.2,.386,.080,.200,0.0,8.5,4.1,16.2,0.0,0.0,12.8,17.3,,-0.2,0.0,-0.2,-0.091,,-8.5,-3.7,-12.2,-0.2
61,Ryan Broekhoff\broekry01,SG,28,DAL,15,74,8.0,.490,.818,.045,3.0,16.0,9.6,5.7,0.6,1.1,8.2,14.0,,0.0,0.1,0.1,.037,,-2.6,-1.8,-4.4,0.0
62,Malcolm Brogdon\brogdma01,SG,26,MIL,30,888,16.8,.614,.342,.152,3.9,12.0,8.2,16.7,1.0,0.6,12.1,20.0,,1.8,1.1,2.9,.156,,1.7,-0.2,1.5,0.8
63,Dillon Brooks\brookdi01,SF,23,MEM,13,235,7.2,.477,.297,.270,2.9,9.4,6.1,7.9,1.7,1.6,12.7,18.7,,-0.3,0.3,0.0,.002,,-4.8,-0.5,-5.3,-0.2
64,MarShon Brooks\brookma01,SG,30,MEM,28,384,12.4,.520,.321,.196,3.6,10.0,6.8,10.9,1.2,1.0,9.9,24.4,,-0.1,0.4,0.2,.030,,-2.5,-2.4,-5.0,-0.3
65,Bruce Brown\brownbr01,SG,22,DET,25,444,8.3,.495,.314,.219,3.5,12.1,7.6,8.0,1.4,2.7,10.8,12.2,,0.1,0.6,0.6,.069,,-3.3,2.1,-1.2,0.1
66,Jaylen Brown\brownja02,SG,22,BOS,28,746,10.4,.484,.359,.238,4.3,11.8,8.0,8.2,1.6,1.9,10.8,21.3,,-0.4,1.1,0.7,.044,,-3.0,0.2,-2.8,-0.1
67,Lorenzo Brown\brownlo01,PG,28,TOR,22,197,6.7,.395,.415,.031,2.9,12.7,8.0,17.0,2.5,2.0,19.5,17.9,,-0.4,0.3,-0.1,-0.026,,-5.0,1.6,-3.5,-0.1
68,Sterling Brown\brownst02,SG,23,MIL,24,340,11.4,.559,.471,.098,4.1,16.2,10.5,9.4,0.8,0.7,9.4,14.5,,0.3,0.5,0.8,.113,,-1.3,-0.2,-1.5,0.0
69,Troy Brown\browntr01,SF,19,WAS,16,102,10.1,.399,.189,.270,3.2,19.9,11.4,18.7,2.8,0.0,8.8,19.0,,-0.1,0.1,0.0,-0.012,,-5.1,-0.7,-5.8,-0.1
70,Jalen Brunson\brunsja01,PG,22,DAL,29,492,10.8,.514,.313,.221,2.0,7.9,5.0,16.2,1.8,0.0,11.0,17.4,,0.2,0.4,0.6,.057,,-1.8,-1.4,-3.2,-0.2
71,Thomas Bryant\bryanth01,C,21,WAS,25,388,21.0,.720,.195,.310,7.8,23.8,15.6,7.9,1.0,3.5,11.1,15.9,,1.2,0.3,1.5,.181,,1.0,-0.1,0.9,0.3
72,Reggie Bullock\bullore01,SG,27,DET,24,723,10.9,.574,.619,.164,1.1,7.4,4.1,11.4,0.9,0.2,9.7,15.6,,0.8,0.6,1.4,.094,,0.4,-1.0,-0.6,0.3
73,Trey Burke\burketr01,PG,26,NYK,24,485,15.5,.484,.262,.206,3.1,9.1,6.0,23.8,1.6,0.4,8.2,25.6,,0.3,0.1,0.4,.039,,0.2,-3.1,-2.9,-0.1
74,Alec Burks\burksal01,SG,27,TOT,32,689,11.5,.488,.360,.294,1.7,15.9,8.6,12.9,1.3,1.5,10.2,21.7,,-0.1,0.5,0.3,.023,,-2.5,-1.1,-3.6,-0.3
74,Alec Burks\burksal01,SG,27,UTA,17,269,12.8,.547,.377,.333,0.8,10.3,5.6,11.7,1.1,1.2,10.3,23.5,,0.1,0.3,0.4,.077,,-1.8,-1.6,-3.3,-0.1
74,Alec Burks\burksal01,SG,27,CLE,15,420,10.7,.445,.348,.266,2.3,19.4,10.5,13.6,1.4,1.6,10.2,20.6,,-0.3,0.2,-0.1,-0.012,,-3.0,-0.8,-3.8,-0.2
75,Deonte Burton\burtode02,SG,25,OKC,15,131,8.0,.504,.283,.130,0.8,12.0,6.3,5.3,1.1,3.2,12.6,17.2,,-0.1,0.2,0.1,.048,,-5.9,0.1,-5.7,-0.1
76,Jimmy Butler\butleji01,SG,29,TOT,28,935,21.5,.581,.255,.348,5.6,10.3,8.0,16.8,3.0,1.8,8.0,23.3,,2.3,1.1,3.5,.178,,3.2,0.7,3.9,1.4
76,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.6,.579,.287,.389,4.7,10.7,7.7,18.6,3.2,2.4,7.1,23.1,,1.0,0.4,1.4,.183,,4.0,1.3,5.2,0.7
76,Jimmy Butler\butleji01,SG,29,PHI,18,574,20.7,.583,.236,.323,6.2,10.0,8.2,15.7,2.9,1.4,8.5,23.4,,1.3,0.7,2.1,.175,,2.7,0.4,3.1,0.7
77,Jose Calderon\caldejo01,PG,37,DET,26,349,6.6,.381,.481,.091,2.1,8.3,5.1,25.7,1.7,0.5,18.4,11.8,,-0.2,0.4,0.2,.026,,-4.2,-0.4,-4.6,-0.2
78,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,34,750,12.2,.576,.584,.265,2.2,9.2,5.8,5.1,1.7,0.5,6.3,15.8,,1.0,0.7,1.7,.108,,0.2,-1.1,-0.9,0.2
79,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.6,.515,.558,.155,1.1,9.9,5.4,17.2,1.2,0.0,17.4,14.5,,-0.1,0.1,0.0,.004,,-2.4,-2.0,-4.4,-0.3
80,Clint Capela\capelca01,C,24,HOU,33,1109,24.6,.637,.000,.311,16.2,26.4,21.1,7.9,0.9,5.0,11.1,19.7,,3.6,1.2,4.8,.207,,1.7,1.6,3.3,1.5
81,DeMarre Carroll\carrode01,SF,32,BRK,25,571,9.7,.506,.561,.376,4.7,18.3,11.4,5.0,0.8,0.3,11.3,18.7,,0.1,0.3,0.4,.034,,-2.4,-2.2,-4.6,-0.4
82,Jevon Carter\carteje01,PG,23,MEM,4,63,2.7,.421,.474,.000,0.0,9.3,4.6,7.2,2.4,1.5,17.4,16.9,,-0.2,0.1,-0.1,-0.067,,-7.0,0.0,-7.0,-0.1
83,Vince Carter\cartevi01,SF,42,ATL,30,535,11.2,.543,.637,.116,2.3,14.4,8.2,8.7,1.5,1.8,8.3,16.6,,0.3,0.3,0.6,.054,,-1.1,-1.3,-2.4,-0.1
84,Wendell Carter\cartewe01,C,19,CHI,35,861,15.3,.532,.087,.307,8.4,21.2,14.8,12.2,1.0,5.1,13.5,20.2,,0.4,1.1,1.4,.079,,-2.7,2.4,-0.4,0.4
85,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,13.1,.476,.311,.426,2.3,8.1,5.1,23.3,3.1,3.5,12.1,25.0,,0.0,0.1,0.1,.039,,-2.7,-0.6,-3.3,0.0
86,Omri Casspi\casspom01,SF,30,MEM,24,296,17.4,.627,.287,.437,3.1,25.6,14.2,11.7,1.5,1.6,11.1,18.2,,0.5,0.5,0.9,.151,,-1.1,0.5,-0.6,0.1
87,Willie Cauley-Stein\caulewi01,C,25,SAC,34,964,18.1,.550,.003,.314,8.1,23.2,15.5,12.2,2.0,1.6,9.1,20.2,,1.4,1.1,2.5,.123,,-0.1,1.3,1.2,0.8
88,Tyson Chandler\chandty01,C,36,TOT,30,553,11.1,.612,.000,.770,11.4,26.1,18.9,4.7,1.4,1.8,23.4,8.1,,0.6,0.8,1.4,.121,,-2.8,2.0,-0.8,0.2
88,Tyson Chandler\chandty01,C,36,PHO,7,89,12.0,.653,.000,1.500,8.7,40.5,24.5,9.3,1.1,0.9,26.0,13.2,,0.1,0.1,0.2,.103,,-4.7,0.5,-4.2,0.0
88,Tyson Chandler\chandty01,C,36,LAL,23,464,10.9,.599,.000,.592,11.9,23.3,17.8,3.8,1.5,2.0,22.6,7.2,,0.5,0.7,1.2,.124,,-2.4,2.3,-0.1,0.2
89,Wilson Chandler\chandwi01,PF,31,PHI,22,576,8.9,.566,.532,.087,5.9,13.9,10.1,10.3,0.6,1.4,16.6,11.5,,0.4,0.5,0.8,.070,,-0.8,0.2,-0.6,0.2
90,Marquese Chriss\chrisma01,PF,21,HOU,10,57,4.5,.407,.455,.136,5.8,16.6,11.0,8.1,0.9,3.0,17.7,21.8,,-0.2,0.0,-0.1,-0.096,,-7.5,-1.8,-9.2,-0.1
