Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
280,Timothe Luwawu-Cabarrot\luwawti01,SF,23,OKC,17,1,6.9,0.8,2.4,.317,0.3,1.2,.238,0.5,1.2,.400,.378,0.2,0.4,.667,0.2,0.8,1.0,0.2,0.2,0.1,0.3,0.8,2.1
281,Tyler Lydon\lydonty01,PF,22,DEN,11,0,3.7,0.5,0.7,.750,0.3,0.4,.750,0.3,0.4,.750,.938,0.1,0.2,.500,0.4,0.5,0.8,0.2,0.1,0.0,0.1,0.4,1.5
282,Trey Lyles\lylestr01,PF,23,DEN,32,1,20.4,3.7,8.7,.419,0.8,3.4,.250,2.8,5.3,.526,.468,1.7,2.5,.696,0.7,3.8,4.5,1.4,0.6,0.5,1.4,1.7,9.9
283,Shelvin Mack\macksh01,PG,28,MEM,34,2,24.4,3.0,7.2,.419,1.0,2.5,.400,2.0,4.7,.429,.488,1.2,1.7,.702,0.3,1.6,2.0,3.1,1.0,0.1,1.2,1.6,8.2
284,Daryl Macon\maconda01,SG,23,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Ian Mahinmi\mahinia01,C,32,WAS,18,6,13.7,1.1,2.3,.452,0.1,0.4,.125,1.0,1.9,.529,.464,1.8,2.7,.688,1.4,1.9,3.3,0.5,0.6,0.3,0.6,2.6,4.0
286,Thon Maker\makerth01,C,21,MIL,25,0,12.1,1.9,4.0,.465,0.9,2.5,.371,1.0,1.6,.615,.579,0.7,1.2,.548,0.4,2.4,2.8,0.5,0.2,0.6,0.3,1.6,5.4
287,Boban Marjanovic\marjabo01,C,30,LAC,26,7,11.2,2.7,4.3,.625,0.0,0.0,.000,2.7,4.3,.631,.625,2.3,2.9,.787,1.7,2.9,4.6,0.6,0.3,0.6,1.0,1.6,7.7
288,Lauri Markkanen\markkla01,PF,21,CHI,12,11,30.0,6.4,14.9,.430,2.7,6.8,.390,3.8,8.1,.464,.520,1.9,2.3,.852,1.2,5.6,6.8,1.2,1.0,0.8,1.5,2.4,17.4
289,Jarell Martin\martija01,PF,24,ORL,20,1,8.6,0.9,2.6,.333,0.2,1.1,.190,0.7,1.5,.433,.373,0.3,0.4,.857,0.3,1.5,1.8,0.6,0.1,0.2,0.4,1.2,2.2
290,Frank Mason\masonfr01,PG,24,SAC,27,0,13.2,1.9,4.7,.397,0.3,1.6,.205,1.5,3.0,.500,.433,1.1,1.6,.705,0.1,1.2,1.3,2.8,0.5,0.1,1.0,0.9,5.2
291,Wesley Matthews\matthwe02,SG,32,DAL,29,29,31.0,4.8,11.4,.418,2.4,6.1,.398,2.3,5.3,.442,.524,2.3,3.0,.791,0.6,1.9,2.4,2.4,0.9,0.2,1.3,2.5,14.3
292,Luc Mbah a Moute\mbahalu01,PF,32,LAC,4,0,15.3,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.5,1.3,.400,0.5,1.3,1.8,0.5,0.3,0.3,0.5,2.0,5.0
293,CJ McCollum\mccolcj01,SG,27,POR,33,33,34.1,8.3,18.0,.461,1.9,5.7,.337,6.4,12.3,.518,.514,2.4,3.0,.816,0.9,2.9,3.8,2.6,0.9,0.4,1.8,2.6,20.9
294,T.J. McConnell\mccontj01,PG,26,PHI,29,0,19.4,2.7,4.9,.538,0.2,0.7,.316,2.4,4.3,.573,.559,0.3,0.3,1.000,0.3,1.7,2.0,3.3,1.0,0.3,1.3,1.6,5.9
295,Doug McDermott\mcderdo01,SF,27,IND,35,0,17.7,2.5,5.1,.486,1.2,3.0,.410,1.2,2.1,.597,.607,0.9,1.0,.857,0.2,1.1,1.3,0.8,0.3,0.1,0.5,1.5,7.0
296,JaVale McGee\mcgeeja01,C,31,LAL,29,29,23.5,5.2,8.4,.626,0.0,0.1,.250,5.2,8.2,.632,.628,1.3,2.0,.667,2.5,4.1,6.7,0.8,0.8,2.6,1.6,2.6,11.8
297,Rodney McGruder\mcgruro01,SG,27,MIA,32,32,30.1,4.0,9.2,.431,1.6,4.1,.392,2.4,5.2,.461,.517,1.1,1.4,.773,1.0,3.4,4.4,2.5,0.8,0.1,1.3,2.4,10.6
298,Alfonzo McKinnie\mckinal01,SF,26,GSW,26,0,15.1,2.3,4.9,.469,0.8,2.0,.385,1.5,2.9,.526,.547,0.5,0.9,.522,1.4,2.5,3.9,0.4,0.2,0.2,0.4,2.1,5.8
299,Ben McLemore\mclembe01,SG,25,SAC,11,0,7.3,0.9,3.2,.286,0.8,2.1,.391,0.1,1.1,.083,.414,0.4,0.5,.667,0.1,0.6,0.7,0.3,0.2,0.2,0.1,0.9,3.0
300,Jordan McRae\mcraejo01,SG,27,WAS,7,0,4.6,0.3,1.6,.182,0.0,0.4,.000,0.3,1.1,.250,.182,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.1,0.0,0.0,0.6
301,Salah Mejri\mejrisa01,C,32,DAL,11,0,5.9,0.7,1.2,.615,0.0,0.2,.000,0.7,1.0,.727,.615,0.5,0.5,.833,0.5,1.5,2.1,0.5,0.1,0.1,0.3,1.1,1.9
302,De'Anthony Melton\meltode01,PG,20,PHO,18,10,18.9,2.4,6.2,.393,0.9,2.6,.340,1.6,3.6,.431,.464,0.3,0.3,.833,0.3,2.1,2.4,2.8,1.3,0.2,1.7,2.3,6.1
303,Chimezie Metu\metuch01,PF,21,SAS,19,0,5.5,0.8,2.2,.381,0.0,0.1,.000,0.8,2.1,.400,.381,0.6,0.8,.800,0.4,0.9,1.4,0.6,0.3,0.1,0.5,0.4,2.3
304,Khris Middleton\middlkh01,SF,27,MIL,31,31,31.2,5.8,14.2,.409,2.6,7.2,.369,3.2,7.0,.450,.502,2.9,3.4,.867,0.4,5.5,5.9,3.9,1.2,0.1,2.4,2.6,17.2
305,C.J. Miles\milescj01,SF,31,TOR,29,1,14.7,1.7,5.3,.314,1.0,3.5,.284,0.7,1.8,.373,.408,0.7,0.9,.778,0.2,1.3,1.6,0.6,0.3,0.2,0.6,1.6,5.0
306,Darius Miller\milleda01,SF,28,NOP,31,3,22.8,2.3,5.7,.401,1.7,4.5,.371,0.6,1.2,.514,.548,0.5,0.6,.850,0.2,1.3,1.5,1.7,0.7,0.3,0.8,2.3,6.8
307,Patty Mills\millspa02,PG,30,SAS,35,0,24.2,3.1,7.3,.418,1.6,4.2,.385,1.4,3.1,.463,.529,1.2,1.4,.837,0.3,2.2,2.5,2.8,0.6,0.2,1.1,1.5,8.9
308,Paul Millsap\millspa01,PF,33,DEN,25,25,26.8,4.9,9.9,.498,0.9,2.2,.400,4.0,7.7,.526,.543,2.9,4.0,.727,2.1,4.9,7.0,2.0,1.4,1.1,1.6,2.6,13.6
309,Shake Milton\miltosh01,SG,22,PHI,8,0,5.5,1.1,2.3,.500,0.6,1.3,.500,0.5,1.0,.500,.639,0.3,0.3,1.000,0.4,0.4,0.8,0.8,0.4,0.1,0.0,0.8,3.1
310,Nikola Mirotic\mirotni01,PF,27,NOP,25,22,30.0,6.0,13.4,.452,2.5,7.2,.348,3.5,6.1,.575,.546,2.8,3.3,.841,1.6,7.6,9.2,1.0,0.8,0.6,1.2,2.4,17.4
311,Donovan Mitchell\mitchdo01,SG,22,UTA,31,31,32.4,7.5,18.4,.407,1.9,6.6,.291,5.5,11.7,.473,.460,3.3,4.2,.785,0.5,3.0,3.5,3.4,1.7,0.3,2.7,2.7,20.2
312,Naz Mitrou-Long\mitrona01,SG,25,UTA,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
313,Malik Monk\monkma01,SG,20,CHO,30,0,19.3,3.6,9.4,.388,1.7,5.1,.333,1.9,4.3,.453,.479,1.6,1.8,.891,0.3,1.5,1.8,1.9,0.6,0.3,1.3,1.5,10.6
314,Greg Monroe\monrogr01,C,28,TOR,19,2,9.9,2.2,4.2,.513,0.0,0.2,.000,2.2,4.1,.532,.513,0.7,1.1,.619,1.6,2.0,3.6,0.3,0.4,0.0,0.7,1.3,5.0
315,E'Twaun Moore\mooreet01,SF,29,NOP,32,24,29.8,5.4,11.1,.485,1.4,3.5,.405,4.0,7.6,.520,.548,0.9,1.3,.707,0.8,1.6,2.4,2.2,0.8,0.2,1.1,2.6,13.1
316,Jaylen Morris\morrija01,SG,23,MIL,4,0,7.3,1.0,2.5,.400,0.3,0.8,.333,0.8,1.8,.429,.450,0.3,0.5,.500,0.0,1.3,1.3,1.0,0.5,0.0,0.3,0.3,2.5
317,Marcus Morris\morrima03,PF,29,BOS,30,13,27.2,5.4,10.9,.497,2.2,5.1,.431,3.2,5.8,.554,.598,2.0,2.3,.882,0.9,5.4,6.3,1.5,0.6,0.2,1.5,2.7,15.1
318,Markieff Morris\morrima02,PF,29,WAS,34,15,26.0,4.2,9.6,.436,1.4,4.2,.333,2.8,5.4,.516,.509,1.7,2.1,.781,1.2,3.9,5.1,1.8,0.7,0.6,1.4,3.4,11.5
319,Monte Morris\morrimo01,PG,23,DEN,32,1,25.0,4.3,8.8,.484,1.2,2.6,.458,3.1,6.2,.495,.552,0.7,0.9,.793,0.3,2.3,2.6,4.1,1.1,0.1,0.7,1.3,10.4
320,Emmanuel Mudiay\mudiaem01,PG,22,NYK,28,21,26.0,5.4,11.5,.464,1.1,3.5,.327,4.2,8.0,.524,.514,2.5,3.3,.742,0.6,2.4,3.0,3.6,0.8,0.4,2.0,1.9,14.3
321,Jamal Murray\murraja01,PG,21,DEN,32,31,34.3,6.7,15.9,.418,1.4,4.9,.285,5.3,11.0,.477,.462,2.7,3.1,.859,0.8,3.6,4.5,4.9,0.9,0.4,2.4,2.1,17.4
322,Dzanan Musa\musadz01,SG,19,BRK,7,0,3.7,0.9,2.0,.429,0.0,0.9,.000,0.9,1.1,.750,.429,0.0,0.3,.000,0.1,0.3,0.4,0.1,0.3,0.0,0.4,0.1,1.7
323,Mike Muscala\muscami01,PF,27,PHI,28,3,23.3,2.4,6.4,.376,1.6,4.7,.336,0.8,1.7,.489,.500,1.6,2.0,.818,1.1,3.4,4.6,1.4,0.3,0.6,0.9,2.5,8.0
324,Svi Mykhailiuk\mykhasv01,SF,21,LAL,21,0,10.8,1.1,3.3,.343,0.8,2.2,.370,0.3,1.1,.292,.464,0.3,0.6,.538,0.2,0.6,0.8,0.9,0.4,0.0,0.7,0.6,3.4
325,Abdel Nader\naderab01,SF,25,OKC,15,0,3.5,0.5,1.1,.438,0.0,0.3,.000,0.5,0.7,.636,.438,0.1,0.1,1.000,0.1,0.9,0.9,0.1,0.1,0.1,0.4,0.3,1.1
326,Larry Nance\nancela02,C,26,CLE,33,13,25.7,3.5,6.6,.530,0.4,1.0,.382,3.1,5.6,.557,.559,1.5,2.1,.706,2.3,5.3,7.5,3.1,1.4,0.7,1.3,3.0,8.9
327,Shabazz Napier\napiesh01,PG,27,BRK,25,0,14.3,2.2,5.9,.374,0.9,2.5,.365,1.3,3.4,.381,.452,1.7,2.0,.843,0.3,1.2,1.5,1.4,0.7,0.3,0.9,1.2,7.0
328,Raul Neto\netora01,PG,26,UTA,13,0,9.9,1.5,3.0,.513,0.4,1.2,.313,1.2,1.8,.652,.577,0.8,0.9,.917,0.2,0.9,1.1,2.1,0.5,0.0,0.9,0.8,4.3
329,Georges Niang\niangge01,PF,25,UTA,23,0,6.8,1.1,2.4,.464,0.7,1.7,.436,0.4,0.7,.529,.616,0.3,0.4,.889,0.1,1.0,1.2,0.6,0.2,0.0,0.3,0.9,3.3
330,Joakim Noah\noahjo01,C,33,MEM,9,0,14.0,1.9,3.9,.486,0.0,0.0,,1.9,3.9,.486,.486,1.1,1.9,.588,1.0,2.4,3.4,1.2,0.3,0.6,1.4,2.0,4.9
331,Nerlens Noel\noelne01,C,24,OKC,32,1,14.0,2.0,3.5,.575,0.0,0.0,,2.0,3.5,.575,.575,0.8,1.2,.711,1.8,2.9,4.8,0.5,0.9,1.5,0.7,2.4,4.9
332,Dirk Nowitzki\nowitdi01,PF,40,DAL,6,0,8.7,1.0,3.2,.316,0.3,1.3,.250,0.7,1.8,.364,.368,0.7,0.7,1.000,0.0,1.2,1.2,0.3,0.0,0.3,0.3,0.8,3.0
333,Frank Ntilikina\ntilila01,PG,20,NYK,31,14,22.1,2.4,6.8,.346,0.9,3.0,.290,1.5,3.8,.390,.410,0.7,0.8,.808,0.2,1.7,1.9,2.6,0.7,0.4,1.4,2.5,6.3
334,James Nunnally\nunnaja01,SF,28,MIN,11,0,5.4,0.8,1.9,.429,0.5,1.2,.385,0.4,0.7,.500,.548,0.4,0.4,1.000,0.0,0.4,0.4,0.5,0.1,0.0,0.1,0.4,2.5
335,Jusuf Nurkic\nurkiju01,C,24,POR,34,34,26.6,5.2,10.9,.482,0.1,0.7,.130,5.1,10.2,.506,.486,3.4,4.5,.740,3.7,6.5,10.2,2.7,1.1,1.3,2.1,3.2,13.9
336,David Nwaba\nwabada01,SG,26,CLE,21,6,16.4,2.0,4.7,.424,0.4,1.7,.257,1.6,3.0,.516,.470,1.5,2.4,.640,0.5,2.3,2.8,0.7,0.6,0.3,0.4,1.7,6.0
337,Royce O'Neale\onealro01,SF,25,UTA,35,3,16.3,1.6,3.7,.445,0.5,1.4,.354,1.1,2.3,.500,.512,0.3,0.5,.667,0.3,2.5,2.8,1.3,0.5,0.1,0.9,1.7,4.1
338,Kyle O'Quinn\oquinky01,C,28,IND,16,0,6.6,1.2,2.5,.475,0.0,0.3,.000,1.2,2.3,.528,.475,0.4,0.4,1.000,0.8,1.7,2.4,1.2,0.2,0.5,0.5,1.2,2.8
339,Semi Ojeleye\ojelese01,PF,24,BOS,24,2,11.6,1.4,3.5,.405,0.6,2.0,.286,0.8,1.5,.571,.488,0.4,0.6,.667,0.5,1.4,1.9,0.2,0.2,0.0,0.4,0.8,3.8
340,Jahlil Okafor\okafoja01,C,23,NOP,17,2,7.7,1.8,3.4,.544,0.0,0.0,,1.8,3.4,.544,.544,0.8,1.1,.778,1.0,1.2,2.2,0.1,0.1,0.2,0.4,1.3,4.5
341,Elie Okobo\okoboel01,PG,21,PHO,19,4,20.0,2.7,6.9,.389,0.7,2.7,.275,1.9,4.2,.463,.443,0.7,0.7,.929,0.3,1.8,2.1,2.4,0.8,0.2,1.4,2.6,6.8
342,Josh Okogie\okogijo01,SG,20,MIN,26,7,19.3,2.4,6.2,.383,0.7,2.5,.273,1.7,3.7,.458,.438,1.2,1.7,.711,0.7,2.3,3.0,1.0,0.8,0.4,0.8,1.8,6.7
343,Victor Oladipo\oladivi01,SG,26,IND,24,24,32.9,7.3,17.0,.432,2.3,6.4,.351,5.1,10.5,.482,.499,3.1,4.3,.728,0.5,5.9,6.4,5.3,1.7,0.4,2.5,1.9,20.0
344,Kelly Olynyk\olynyke01,PF,27,MIA,32,5,20.8,3.0,6.8,.438,1.5,4.4,.333,1.5,2.4,.628,.546,2.3,2.8,.800,1.0,3.4,4.4,2.0,0.8,0.4,1.3,2.4,9.7
345,Cedi Osman\osmande01,SF,23,CLE,33,32,31.9,4.1,10.6,.386,1.4,4.6,.296,2.7,6.0,.455,.450,1.8,2.3,.792,0.6,4.5,5.0,2.2,0.6,0.2,1.6,2.4,11.4
346,Kelly Oubre\oubreke01,SF,23,TOT,33,7,26.5,4.5,10.5,.431,1.5,4.6,.331,3.0,6.0,.508,.503,2.5,3.1,.812,0.8,3.6,4.4,0.8,0.9,0.7,1.1,2.4,13.1
346,Kelly Oubre\oubreke01,SF,23,WAS,29,7,26.0,4.6,10.5,.433,1.4,4.6,.311,3.1,6.0,.526,.500,2.3,2.9,.800,0.8,3.6,4.4,0.7,0.9,0.7,1.0,2.4,12.9
346,Kelly Oubre\oubreke01,SF,23,PHO,4,0,29.8,4.5,10.8,.419,2.3,4.8,.474,2.3,6.0,.375,.523,3.5,4.0,.875,0.3,3.5,3.8,1.5,0.8,1.0,1.5,2.0,14.8
347,Zaza Pachulia\pachuza01,C,34,DET,30,0,12.6,1.3,3.1,.409,0.0,0.1,.000,1.3,3.0,.422,.409,1.7,2.3,.750,1.7,2.6,4.3,1.4,0.7,0.2,0.7,2.1,4.2
348,Jabari Parker\parkeja01,PF,23,CHI,29,17,30.1,6.1,13.3,.455,0.9,3.2,.293,5.1,10.2,.505,.490,2.2,3.0,.724,1.2,5.7,6.9,2.3,0.6,0.3,2.6,2.3,15.2
349,Tony Parker\parketo01,PG,36,CHO,30,0,19.2,3.8,8.6,.440,0.3,0.9,.286,3.5,7.7,.459,.456,1.8,2.6,.688,0.2,1.4,1.6,4.1,0.5,0.1,1.3,0.8,9.6
350,Chandler Parsons\parsoch01,SF,30,MEM,3,3,15.3,2.3,5.7,.412,1.0,3.3,.300,1.3,2.3,.571,.500,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.3,0.7,2.3,5.7
351,Patrick Patterson\pattepa01,PF,29,OKC,33,3,14.9,1.3,4.1,.328,0.8,2.5,.298,0.6,1.5,.380,.422,0.5,0.8,.640,0.7,1.8,2.5,0.5,0.4,0.2,0.3,0.8,3.9
352,Chris Paul\paulch01,PG,33,HOU,26,26,33.2,5.3,12.7,.415,2.0,5.8,.353,3.2,6.9,.467,.495,3.0,3.7,.813,0.6,3.4,4.0,8.0,2.1,0.3,3.0,2.6,15.6
353,Cameron Payne\payneca01,PG,24,CHI,30,12,17.7,2.3,5.6,.413,0.5,2.0,.271,1.8,3.6,.491,.461,0.7,0.8,.880,0.3,1.4,1.7,2.7,0.7,0.2,1.1,1.6,5.9
354,Elfrid Payton\paytoel01,PG,24,NOP,6,6,25.3,4.0,8.5,.471,0.5,1.2,.429,3.5,7.3,.477,.500,1.2,1.8,.636,1.2,4.0,5.2,5.3,0.8,0.2,2.0,2.7,9.7
355,Theo Pinson\pinsoth01,SG,23,BRK,4,0,4.0,0.0,1.0,.000,0.0,0.8,.000,0.0,0.3,.000,.000,0.5,0.5,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.5
356,Mason Plumlee\plumlma01,C,28,DEN,32,6,19.6,3.0,5.3,.577,0.0,0.1,.333,3.0,5.2,.582,.580,1.2,2.5,.457,2.1,3.6,5.7,2.2,1.1,0.9,1.5,3.3,7.3
357,Miles Plumlee\plumlmi01,C,30,ATL,16,0,9.7,1.9,2.8,.682,0.0,0.0,,1.9,2.8,.682,.682,1.0,1.8,.571,1.0,1.3,2.3,0.9,0.4,0.3,0.6,0.8,4.8
358,Jakob Poeltl\poeltja01,C,23,SAS,31,3,15.3,2.5,4.1,.627,0.0,0.0,,2.5,4.1,.627,.627,0.9,1.3,.675,2.2,2.9,5.1,1.1,0.2,0.7,0.7,1.4,6.0
359,Quincy Pondexter\pondequ01,SF,30,SAS,27,0,6.3,0.6,1.2,.515,0.2,0.5,.385,0.4,0.7,.600,.591,0.9,1.1,.806,0.2,1.0,1.1,0.5,0.3,0.0,0.3,0.6,2.4
360,Otto Porter\porteot01,SF,25,WAS,25,25,29.5,4.6,9.5,.487,1.4,3.8,.368,3.2,5.7,.566,.561,1.0,1.3,.781,1.0,4.7,5.6,2.0,1.5,0.6,0.9,1.5,11.7
361,Bobby Portis\portibo01,PF,23,CHI,9,4,24.4,4.8,11.6,.413,0.7,2.7,.250,4.1,8.9,.463,.442,1.7,2.4,.682,1.4,6.6,8.0,1.2,0.4,0.8,1.4,2.7,11.9
362,Dwight Powell\poweldw01,C,27,DAL,29,0,16.4,3.0,5.3,.571,0.3,1.6,.170,2.8,3.7,.748,.597,2.3,3.0,.773,1.2,2.8,4.0,1.0,0.5,0.6,0.9,2.8,8.7
363,Norman Powell\powelno01,SG,25,TOR,15,2,16.4,2.1,4.3,.492,0.8,2.2,.364,1.3,2.1,.625,.585,0.7,0.9,.769,0.1,1.9,2.1,1.2,0.5,0.1,0.9,1.5,5.7
364,Alex Poythress\poythal01,PF,25,ATL,15,1,13.4,1.7,3.3,.520,0.3,0.9,.357,1.4,2.4,.583,.570,0.5,1.1,.471,1.4,1.9,3.3,0.7,0.2,0.4,0.5,2.2,4.3
365,Zhou Qi\qizh01,PF,23,HOU,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
366,Ivan Rabb\rabbiv01,PF,21,MEM,12,0,6.9,1.2,1.9,.609,0.0,0.2,.000,1.2,1.8,.667,.609,0.4,0.6,.714,1.0,1.8,2.8,0.8,0.1,0.2,0.8,1.3,2.8
367,Chasson Randle\randlch01,PG,25,WAS,5,0,14.2,1.4,3.8,.368,1.0,2.2,.455,0.4,1.6,.250,.500,2.2,2.8,.786,0.2,0.4,0.6,2.0,0.8,0.2,1.0,1.6,6.0
368,Julius Randle\randlju01,C,24,NOP,34,14,28.2,7.1,13.1,.544,0.6,1.8,.328,6.6,11.4,.578,.566,4.5,6.4,.708,2.2,7.0,9.3,2.7,0.6,0.6,2.5,3.5,19.4
369,J.J. Redick\redicjj01,SG,34,PHI,35,22,30.8,6.2,14.1,.438,2.7,7.6,.361,3.4,6.5,.529,.535,3.0,3.3,.904,0.2,2.1,2.3,2.9,0.2,0.2,1.4,2.1,18.1
370,Davon Reed\reedda01,SG,23,IND,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
371,Josh Richardson\richajo01,SG,25,MIA,32,32,35.1,6.4,15.8,.409,2.6,6.8,.385,3.8,8.9,.427,.492,3.0,3.5,.848,0.9,3.2,4.0,3.7,1.2,0.5,2.0,3.0,18.5
372,Malachi Richardson\richama01,SG,23,TOR,18,0,5.1,0.4,1.4,.320,0.4,1.2,.333,0.1,0.2,.250,.460,0.1,0.2,.667,0.1,0.6,0.7,0.0,0.1,0.0,0.4,0.7,1.4
373,Austin Rivers\riverau01,SG-PG,26,TOT,30,2,23.8,2.6,6.7,.395,1.2,3.6,.321,1.5,3.0,.484,.483,0.9,1.7,.540,0.4,2.1,2.4,2.0,0.6,0.3,1.2,2.6,7.3
373,Austin Rivers\riverau01,SG,26,WAS,29,2,23.6,2.6,6.7,.392,1.1,3.7,.311,1.5,3.0,.489,.477,0.9,1.6,.543,0.4,2.1,2.4,2.0,0.6,0.3,1.2,2.5,7.2
373,Austin Rivers\riverau01,PG,26,HOU,1,0,31.0,3.0,6.0,.500,2.0,3.0,.667,1.0,3.0,.333,.667,2.0,4.0,.500,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,10.0
